Model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,fit_time_sec
Logistic Regression,0.993,0.0005,0.9931,0.0005,0.993,0.0005,0.993,0.0005,0.9984,0.0003,2.4
Decision Tree,0.9982,0.0011,0.9982,0.0011,0.9982,0.0011,0.9982,0.0011,0.9982,0.0011,1.6
Random Forest,0.9997,0.0002,0.9997,0.0002,0.9997,0.0002,0.9997,0.0002,1.0,0.0,1.88
XGBoost,0.9997,0.0002,0.9997,0.0002,0.9997,0.0002,0.9997,0.0002,1.0,0.0,0.6
SVM,0.9968,0.0008,0.9968,0.0008,0.9968,0.0008,0.9968,0.0008,0.9997,0.0002,4.84
