mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.8890069961547852,0.1007460722565674,0.1233830451965332,0.043045482341475406,True,balanced,20,sqrt,8,8,221,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 8, 'n_estimators': 221}",0.898875620332805,0.8351562728542896,0.9626279215953129,0.9654025161810249,0.9410647708208684,0.9206254203568601,0.04891828787687843,33,0.9999999999999999,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,8.599750569898517e-17
3.187205171585083,0.4757076785144228,0.5428048133850097,0.19072232137730724,True,,10,sqrt,8,5,763,"{'bootstrap': True, 'class_weight': None, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 5, 'n_estimators': 763}",0.9208066239316237,0.8628392217101895,0.9706889691171445,0.9006197439812047,0.8746981359032177,0.9059305389286761,0.03814572412953426,45,0.9959084094633662,0.9873094591063384,0.9922672107251803,0.9847805745344361,0.9947670945039365,0.9910065496666516,0.0042939594362893276
3.125014400482178,0.7208955151359284,0.5632810592651367,0.2891103047155007,True,balanced,20,log2,8,13,513,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 8, 'min_samples_split': 13, 'n_estimators': 513}",0.8912020379017674,0.8433237637781514,0.9732669082125602,0.9653363786148872,0.9489977503945206,0.9244253677803774,0.049687561193084505,32,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,8.599750569898517e-17
2.4472182750701905,0.723930215207936,0.7060525417327881,0.315577038286336,False,balanced,15,sqrt,1,13,413,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 13, 'n_estimators': 413}",0.9541808664149087,0.9703107062902927,0.9905913978494623,0.9940476190476188,0.9731899641577061,0.9764641107519978,0.014518177608040314,11,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,1.0,8.599750569898517e-17
3.6181615829467773,0.3680063055591574,0.9659316539764404,0.2392696607274916,False,,15,sqrt,1,11,575,"{'bootstrap': False, 'class_weight': None, 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 11, 'n_estimators': 575}",0.9749999999999999,0.9947856280193237,0.9999999999999998,0.9983333333333333,0.9755555555555555,0.9887349033816424,0.0111174305306894,2,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999998,0.9999999999999999,0.9999999999999998,1.2161883888976234e-16
4.535049343109131,0.5668898295839238,0.5613371372222901,0.16624364725887092,False,balanced,30,log2,3,13,666,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 666}",0.953125901875902,0.9023058556904031,0.9835714285714283,0.9899305555555554,0.9713131313131315,0.9600493746012841,0.031481082142297306,18,0.9999999999999998,0.9999999999999998,0.9999999999999999,0.9999999999999998,0.9999999999999999,0.9999999999999998,7.021666937153402e-17
0.6800937652587891,0.15812370708575774,0.3985733509063721,0.30471104683657013,False,balanced,,sqrt,5,8,120,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 120}",0.914530915242022,0.8575339467424342,0.9725497233119185,0.9797049602303225,0.9563956813956815,0.9361430453844758,0.04534254171693579,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.764763832092285,0.275227330528341,0.36933236122131347,0.2546351641151461,True,,5,log2,9,15,341,"{'bootstrap': True, 'class_weight': None, 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 9, 'min_samples_split': 15, 'n_estimators': 341}",0.9308002390489858,0.8928509779432942,0.9697041600872245,0.878239729631854,0.8741851525311088,0.9091560518484936,0.03627446061455023,40,0.990240916674671,0.9783959642905351,0.9798605833175664,0.9519898159234251,0.9881195001074036,0.9777213560627203,0.013652870357103365
3.156573534011841,0.28148286021458296,0.538840913772583,0.10768551108522527,False,,5,sqrt,2,16,554,"{'bootstrap': False, 'class_weight': None, 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 16, 'n_estimators': 554}",0.9686426116838487,0.9627586229917884,0.9999999999999998,0.9801056850599184,0.9535327711805474,0.9730079381832205,0.016014593837921434,12,0.9988650335760898,0.9988261226062831,0.9976854158701326,0.9959779393754997,0.9994843234323432,0.9981677669720697,0.0012394306160095827
4.23701024055481,0.2285202955251318,0.9056694030761718,0.17381089706381445,False,,30,sqrt,1,5,661,"{'bootstrap': False, 'class_weight': None, 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 661}",0.9729906648451729,0.9928916886253841,0.9999999999999999,0.9999999999999998,0.9772946859903382,0.9886354078921789,0.01139994553930743,3,0.9999999999999999,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,8.599750569898517e-17
